term,estimate,std.error,D,sim_scenaio
sigma0,0.342933467652853,0.111624322821551,10,PLP_sim
beta,1.2024132598874,0.0722536008696419,10,PLP_sim
R1_K[1],0.985292551594127,0.0919129661182806,10,PLP_sim
R1_K[2],0.219008698716032,0.0745063904311794,10,PLP_sim
R1_K[3],0.167026165555399,0.0383098410422016,10,PLP_sim
mu0_true,0.428308324277515,0.193649689875477,10,PLP_sim
sigma0,0.663382826916843,0.202186802557096,10,PLP_sim
beta,1.22555163447389,0.0709986238274921,10,PLP_sim
R1_K[1],0.949109297946854,0.100413771826149,10,PLP_sim
R1_K[2],0.199322283100249,0.0792673690457274,10,PLP_sim
R1_K[3],0.145524340233403,0.0546348410429146,10,PLP_sim
mu0_true,0.481688748031765,0.284738964109888,10,PLP_sim
sigma0,0.327244053421284,0.128932568227258,10,PLP_sim
beta,1.2259570994693,0.0694376221729817,10,PLP_sim
R1_K[1],0.921178702163959,0.0867483571021984,10,PLP_sim
R1_K[2],0.244957256994618,0.0777303945196428,10,PLP_sim
R1_K[3],0.118384527992766,0.0346210464840359,10,PLP_sim
mu0_true,0.486177748086143,0.187377490984021,10,PLP_sim
sigma0,0.619638344440364,0.192665281648418,10,PLP_sim
beta,1.15363709218318,0.0550681744145618,10,PLP_sim
R1_K[1],0.991435993516671,0.0752894658764391,10,PLP_sim
R1_K[2],0.401599582330363,0.0506065329295805,10,PLP_sim
R1_K[3],0.20458150260311,0.039815153253058,10,PLP_sim
mu0_true,-0.0494044641908627,0.251495203052482,10,PLP_sim
sigma0,0.642271677518922,0.195686845563522,10,PLP_sim
beta,1.16466726509267,0.0505273158194009,10,PLP_sim
R1_K[1],1.07686933248155,0.0678748749938016,10,PLP_sim
R1_K[2],0.313181739384145,0.0531607345613745,10,PLP_sim
R1_K[3],0.206898121429559,0.0363135809495212,10,PLP_sim
mu0_true,0.0456270004181011,0.238725143724117,10,PLP_sim
sigma0,0.529811610233216,0.219720182006889,10,PLP_sim
beta,1.07173508419049,0.0680664411265853,10,PLP_sim
R1_K[1],0.994514725048903,0.121892593091421,10,PLP_sim
R1_K[2],0.449071048247833,0.139462344865079,10,PLP_sim
R1_K[3],0.204952372930763,0.0721353628796872,10,PLP_sim
mu0_true,0.172623735712959,0.350898531343215,10,PLP_sim
sigma0,0.421976027998735,0.1540343144307,10,PLP_sim
beta,1.06570303565707,0.0661509941246045,10,PLP_sim
R1_K[1],1.17618490760091,0.105486519872813,10,PLP_sim
R1_K[2],0.349426970786603,0.087029993639402,10,PLP_sim
R1_K[3],0.179315090555588,0.0601668827072462,10,PLP_sim
mu0_true,0.0742812172199034,0.264615511989233,10,PLP_sim
sigma0,0.502162429600355,0.161770072793572,10,PLP_sim
beta,1.16706770668653,0.0538632786438459,10,PLP_sim
R1_K[1],0.97352425450548,0.0624388080143061,10,PLP_sim
R1_K[2],0.393331707203857,0.0828351822880824,10,PLP_sim
R1_K[3],0.278954097704032,0.0321958423404037,10,PLP_sim
mu0_true,0.00106174807904541,0.206911407109605,10,PLP_sim
sigma0,0.584632655135629,0.182418357281079,10,PLP_sim
beta,1.18818975490518,0.0484033653228103,10,PLP_sim
R1_K[1],0.988782027808612,0.0658265603365686,10,PLP_sim
R1_K[2],0.312736537714866,0.0606865389968939,10,PLP_sim
R1_K[3],0.24770424917381,0.0370494335993388,10,PLP_sim
mu0_true,-0.154124659968144,0.237367371346295,10,PLP_sim
sigma0,0.731297263546034,0.200553922350627,10,PLP_sim
beta,1.19529235362565,0.0403355179685538,10,PLP_sim
R1_K[1],0.992142781268655,0.046530779650415,10,PLP_sim
R1_K[2],0.292874374667025,0.0627442047816052,10,PLP_sim
R1_K[3],0.206002300224084,0.0265485592323256,10,PLP_sim
mu0_true,-0.0413917964466576,0.258293828332781,10,PLP_sim
sigma0,0.609950314324335,0.170884184858655,10,PLP_sim
beta,1.17415839590098,0.0637394114057012,10,PLP_sim
R1_K[1],0.927570113291617,0.08148853546492,10,PLP_sim
R1_K[2],0.306193127019773,0.0708589512943381,10,PLP_sim
R1_K[3],0.279896722797521,0.0493483737241918,10,PLP_sim
mu0_true,-0.0774020640314406,0.267548811538543,10,PLP_sim
sigma0,0.912944547270826,0.330384439668387,10,PLP_sim
